,fala_id,candidato,tema,ordem,tipo,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
1,1_boulos_pandemia,Boulos,pandemia,1,resposta,397,29,93.6,80.47199999999998,4.2414529914529915,4.933392981409684,71.10288623431984,74.65432111460471,141.25807538232442,38.94178362563809,16.4842797053412
24,2_covas_pandemia,Covas,pandemia,2,resposta,539,37,144.46666666666667,127.98533333333337,3.730964467005076,4.211420058548374,70.95566612896391,74.38972710836504,116.83564402797879,26.329105374986263,9.265080561106812
6,3_boulos_pandemia,Boulos,pandemia,3,resposta,626,41,144.53333333333333,125.97066666666666,4.331180811808118,4.969410868138614,70.98735778994957,74.29021060745777,144.3959376532589,46.9689893574532,14.639504923837556
2,4_covas_pandemia,Covas,pandemia,4,resposta,364,21,92.53333333333333,83.29866666666668,3.9337175792507204,4.3698178442231965,70.53569896550074,73.7988198787013,121.51359683618837,39.655810448151016,11.96701145707215
38,5_covas_padrinhos,Covas,padrinhos,5,resposta,302,10,77.5,72.63,3.8967741935483873,4.158061407132039,71.47124790174095,74.28686290381866,123.79367579544473,36.64740605329381,10.656378944613632
34,6_boulos_padrinhos,Boulos,padrinhos,6,resposta,622,40,144.4,127.072,4.307479224376731,4.894862754973558,69.89952680009617,73.83490509860815,135.10210922589837,57.36909725162252,14.889410198985448
41,7_covas_creches,Covas,creches,7,resposta,496,35,136.5,122.466,3.6336996336996337,4.050103702252054,70.78501891440678,74.02455063467822,113.57917861433572,32.86055169636318,9.496179776567141
46,8_boulos_padrinhos,Boulos,padrinhos,8,resposta,361,41,96.8,75.84000000000003,3.729338842975207,4.760021097046412,69.36051235347797,73.45169366018625,123.02324732437707,40.33488741425544,11.873859124613613
4,9_boulos_economia,Boulos,economia,9,resposta,673,42,159.26666666666668,139.68,4.225617413143574,4.81815578465063,71.0896456265511,74.53346436848558,134.00684143672237,42.982878020249316,13.058831009146632
40,10_covas_economia,Covas,economia,10,resposta,666,52,179.8,157.07200000000006,3.704115684093437,4.2400937149842095,70.82611919615327,74.31528861275851,115.71514221813251,20.88356892695472,9.77566428529501
22,11_boulos_economia,Boulos,economia,11,resposta,316,28,82.23333333333333,69.12466666666668,3.842723956222132,4.571450615795614,70.22004814717361,74.1801479266585,134.64372581462516,51.16281627153915,12.519193801580561
8,12_covas_economia,Covas,economia,12,resposta,245,15,62.733333333333334,56.46133333333333,3.9054197662061636,4.339252821990271,70.8708039201765,74.08257108202116,123.324955071738,30.02308405281867,14.006247879644853
27,13_covas_privatizacoes_pergunta,Covas,privatizacoes,13,resposta,144,10,37.63333333333333,31.69666666666667,3.8263950398582818,4.543064465243453,69.82268524137075,72.82698286293247,107.94300915240754,14.143032886507614,7.31185966559543
13,14_boulos_radicalismo_privatizacoes_resposta,Boulos,radicalismo,14,resposta,613,45,150.06666666666666,128.00133333333338,4.084851177254554,4.789012614451931,69.50413885585706,73.4132016507954,132.34294120292319,46.774178555995476,13.918514502709325
9,15_covas_privatizacoes_replica,Covas,privatizacoes,15,resposta,227,13,59.3,52.68999999999998,3.827993254637437,4.308217878155249,70.22593108251951,73.20183381931282,108.7874613095309,25.40716126686415,7.801401367358714
20,16_boulos_seguranca_treplica,Boulos,seguranca,16,resposta,265,14,59.266666666666666,53.71333333333335,4.471316085489314,4.933598113441726,68.57416344712259,72.4451112108316,118.76188520554939,24.11526433779603,10.958633461918026
28,17_boulos_populacao-de-rua_pergunta,Boulos,populacao de rua,17,resposta,180,14,44.53333333333333,36.09866666666667,4.041916167664671,4.98633375193913,69.63469589504827,73.51249103394377,127.18832143248676,54.425794496743286,12.994694144540311
43,18_covas_populacao-de-rua_resposta,Covas,populacao de rua,18,resposta,553,41,151.7,135.266,3.645352669742914,4.088240947466474,71.01900804063254,74.30215982803347,114.28321230043117,26.04523924998929,9.083556206431025
45,19_boulos_populacao-de-rua_replica,Boulos,populacao de rua,19,resposta,260,12,60.96666666666667,54.943999999999996,4.264625478403499,4.732090856144438,68.91598550553653,73.31025414851295,121.99464941912869,47.473305326395995,12.082411860446602
0,20_covas_populacao-de-rua_treplica,Covas,populacao de rua,20,resposta,211,12,57.266666666666666,51.60133333333333,3.6845168800931316,4.0890416268313485,71.25811586859243,74.51113436801568,118.31526606289601,21.59770101276774,13.533146792205681
7,21_covas_saude_pergunta,Covas,saude,21,resposta,137,8,36.3,30.656000000000002,3.7741046831955924,4.468945720250521,71.22501008942284,73.84191720701375,114.08080912153413,22.372680758161376,11.532171018425903
12,22_boulos_saude_resposta,Boulos,saude,22,resposta,658,42,151.9,134.82799999999995,4.331797235023041,4.880291927492808,70.20756679762589,74.08805220954348,131.71974498868116,37.93183554700967,12.552528874062649
26,23_covas_saude_replica,Covas,saude,23,resposta,243,10,61.8,56.62400000000001,3.9320388349514563,4.291466515964961,71.43563614054642,74.27402580874124,119.89528834826852,24.10688381832532,12.417050903355072
42,24_boulos_experiencia_treplica,Boulos,experiencia,24,resposta,227,21,61.93333333333333,50.94400000000002,3.6652314316469323,4.455873115577888,69.11400941602199,73.04557482712454,110.18039052279217,19.448420123532088,8.628156709551515
11,25_boulos_cracolandia_pergunta,Boulos,cracolandia,25,resposta,156,19,44.03333333333333,33.12066666666668,3.542770628311885,4.710050119764093,70.48955389206921,74.10122797403177,117.01861942783513,40.7864567951544,9.498099117611378
16,26_covas_cracolandia_resposta,Covas,cracolandia,26,resposta,589,29,151.76666666666668,139.65466666666663,3.880957610366791,4.217546137615644,71.30656583173406,74.08871907971137,113.44585945869089,22.986666224841326,8.399609367491138
15,27_boulos_cracolandia_replica,Boulos,cracolandia,27,resposta,276,11,62.166666666666664,56.16666666666667,4.439678284182306,4.913946587537092,70.107347738239,73.61977247190994,123.45618235201002,35.94694301477904,11.927770327592606
14,28_covas_cracolandia_treplica,Covas,cracolandia,28,resposta,237,10,60.333333333333336,55.55866666666667,3.9281767955801103,4.265761117377427,71.48902469049827,74.17618966914868,120.22196989938637,44.27197555685983,11.445934470131883
36,29_boulos_lixo_pergunta,Boulos,lixo,29,resposta,178,15,46.6,38.97999999999999,3.819742489270386,4.566444330425861,70.94011698218173,74.54714710671033,132.85630103662803,60.29070093332543,13.258851258757138
29,30_covas_lixo_resposta,Covas,lixo,30,resposta,591,46,153.7,133.202,3.845152895250488,4.436870317262503,71.09403372501535,74.21516325580045,118.50190670943961,37.57968147934608,8.998146963708763
33,31_boulos_lixo_replica,Boulos,lixo,31,resposta,280,13,64.36666666666666,58.54266666666665,4.350077679958571,4.782836449768831,70.86428495923842,74.4254033680751,137.66330557154114,44.20051458454853,15.659914261543486
32,32_covas_lixo_treplica,Covas,lixo,32,resposta,238,12,61.2,56.51199999999999,3.888888888888889,4.21149490373726,72.06674013217777,75.01350065324874,129.20404599349712,38.972555516205915,12.787368301573132
21,33_covas_reforma-tributaria_pergunta,Covas,reforma tributaria,33,resposta,176,12,46.233333333333334,39.860666666666674,3.8067772170151404,4.41538024117342,71.42715737738482,74.5023401351632,122.78622469253733,24.842039070927807,14.926026912368526
44,34_boulos_reforma-tributaria_resposta,Boulos,reforma tributaria,34,resposta,652,39,153.53333333333333,137.83733333333328,4.246634824142423,4.730213391630716,72.01732697045908,75.08264149172277,154.55061559325142,53.96777971639551,19.327526219640927
37,35_covas_reforma-tributaria_replica,Covas,reforma tributaria,35,resposta,234,18,61.96666666666667,53.52733333333335,3.7762237762237763,4.371598311143215,71.2979214369906,74.8992025197963,123.62890578503598,26.28522860216029,12.615124223387083
47,36_boulos_reforma-tributaria_treplica,Boulos,reforma tributaria,36,resposta,264,17,63.63333333333333,55.601333333333336,4.1487689889994765,4.74808757583751,70.19458030872357,74.06241857476542,133.3769777712298,43.41579480964739,13.798499577051453
39,37_boulos_contratos_pergunta,Boulos,contratos,37,resposta,175,12,44.9,37.874,3.8975501113585747,4.6205840418228865,71.30123267724596,74.41912122716774,136.4719853027288,48.68528237329082,11.434433269947078
25,38_covas_contratos_resposta,Covas,contratos,38,resposta,571,35,154.63333333333333,139.744,3.6926061651217936,4.086043050148843,71.98455275535508,74.89345238301743,129.09484224510038,31.162598208141112,12.467269755158132
35,39_boulos_contratos_replica,Boulos,contratos,39,resposta,264,14,62.166666666666664,56.13466666666666,4.246648793565684,4.702976176337855,69.66279485935992,73.69069974180368,128.24165422243965,38.27225502217801,12.053085904333917
31,40_covas_contratos__treplica,Covas,contratos,40,resposta,246,10,63.733333333333334,59.94133333333333,3.8598326359832638,4.104012812527805,72.5702601901741,75.11103794052592,132.10994315116383,41.90891578422655,15.468589069295252
19,41_covas_moradia_pergunta,Covas,moradia,41,resposta,161,9,40.6,37.336000000000006,3.96551724137931,4.3121919862866935,71.06558460775089,74.68153518874614,119.8882142201668,45.52327415648567,16.104459899438073
5,42_boulos_moradia_resposta,Boulos,moradia,42,resposta,627,50,151.16666666666666,128.72733333333332,4.14773980154355,4.870760418662703,70.79379298667318,74.36209596178654,136.2727481828839,45.95837190729313,13.463363511024838
23,43_covas_moradia_replica,Covas,moradia,43,resposta,253,12,64.96666666666667,59.33133333333334,3.8943047716777834,4.264188680517321,71.52463781490395,74.36193456488166,120.09186034352267,30.29646735573281,13.057733248213824
3,44_boulos_moradia_treplica,Boulos,moradia,44,resposta,215,21,59.96666666666667,47.102666666666686,3.5853251806559197,4.564497409913096,69.14863187525586,72.59450307013287,124.31862876656184,43.590388127297956,13.18581933831291
18,45_covas_desemprego,Covas,desemprego,45,resposta,925,50,242.0,222.12799999999993,3.822314049586777,4.1642656486350225,72.39820165635274,75.08193750265778,119.61648833044255,24.319541304375434,11.265721678522718
10,46_boulos_desemprego,Boulos,desemprego,46,resposta,1019,64,240.33333333333334,212.56666666666666,4.239944521497919,4.793790183471852,71.9442016009695,75.04329987271281,143.09391223014765,44.391013608633884,15.473071548910399
17,47_boulos_consideracoes-finais,Boulos,consideracoes finais,47,resposta,250,27,63.4,50.051999999999985,3.943217665615142,4.994805402381525,70.95868982614938,74.5229480065482,128.39611090516183,32.98403286935562,12.598243743288036
30,48_covas_consideracoes-finais,Covas,consideracoes finais,48,resposta,220,17,65.06666666666666,56.789333333333346,3.3811475409836067,3.8739669421487597,70.55839274681438,74.30287665376267,113.94197673703847,33.76957039587183,7.6174242494437525
