,candidato,tema,ritmo de fala (média),ritmo de fala (desvio padrão),tom de voz (média),tom de voz (desvio padrão)
0,Boulos,alianças,4.321066165537026,0.5276810598600972,143.92617009021566,14.074422717888085
1,Boulos,covid/saúde,4.103814659858873,0.27465688693784474,134.5141852718473,14.372521944111176
2,Boulos,economia,4.348747301122552,0.31147186515502256,144.72745747316316,10.626543517167793
3,Boulos,experiencia,3.8160631731755874,0.36332060857823767,112.51894680859225,2.9134072163988667
4,Boulos,moradia,4.27796996893746,0.44107179605325625,134.01314568737396,15.276126317318573
5,Boulos,polarização/radicalismo,4.156032361603577,0.5452547401734003,136.7404938828473,17.669379057979924
6,Boulos,racismo/minorias,4.372325229780514,0.2924102154739173,135.68756367346305,2.4444760441440003
7,Boulos,renda básica,4.732727212150272,0.5158973642004171,145.4401586518743,10.842290344520146
8,Boulos,responsabilidade fiscal,4.263966218594506,0.27264070515020683,131.80370986765627,7.551625812333146
9,Boulos,ricardo nunes,4.025040093313894,0.08535016064679106,147.66685238133545,0.9116997634663871
10,Boulos,segurança,4.085391770682602,,148.3115214664887,
11,Boulos,terceirização/serv. público,4.287276917117503,0.13733088730253684,152.48714737067374,15.056306877502271
12,Covas,alianças,3.795037457866976,0.37382666163952893,118.76393218737053,4.664605184704539
13,Covas,considerações finais,3.4155312877872768,0.14164054503062526,114.34596258386496,4.971525596853946
14,Covas,corrupção,4.195854212990346,0.3406731782793396,132.10708012910615,7.96748179486599
15,Covas,covid/saúde,3.9463086318908864,0.42848336910947177,123.03798611514061,11.515901212563103
16,Covas,creches,3.785966753626185,0.42648545101877794,117.92074824113563,6.549704292817305
17,Covas,economia,3.8364695705867278,0.1017467918851609,118.6834384944847,6.10414351403627
18,Covas,infraestrutura,3.80193955229299,0.43473353935208037,120.18595971659161,10.645744826348299
19,Covas,racismo/minorias,4.018893432167188,0.6529117619732032,117.808187661588,4.284502257096074
20,Covas,responsabilidade fiscal,3.419513597227499,0.3711775019132228,117.12909461900323,8.59632781271703
21,Covas,ricardo nunes,4.211188769114218,0.06120376327966903,120.02551165962981,12.851253988540885
22,Covas,segurança,4.166782429072623,0.5167941422628769,121.30115167208285,8.23845236459845
23,Covas,terceirização/serv. público,3.8991986819155113,0.3632438760773291,135.82176616663546,16.682861962941242
