cand,Datafolha|(11/5-12/5),PoderData|(10/5-12/5),Ipespe|(4/5-7/5),Atlas|(6/5-9/5),Paraná|(30/4-4/5),Média
Lula,41,32,29,33.2,29.3,32.9
Bolsonaro,23,32,29,37,32.7,30.74
Sergio Moro,7,4,8,4.9,5.8,5.94
Ciro Gomes,6,6,9,5.7,6.2,6.58
Luciano Huck,4,4,5,2.1,5.8,4.18
João Doria,3,4,3,1.8,3.6,3.08
Luiz Henrique Mandetta,2,3,3,3.4,1.4,2.56
Branco/Nulo/NS,13,10,14,4.5,12.6,10.82
João Amoêdo,2,5,0,1.5,2.6,2.22
Guilherme Boulos,,,2,,,0.4
Marina Silva,,,,1.3,,0.26
Danilo Gentili,,,,2,,
Eduardo Leite,,,,1.1,,
Tasso Jereissati,,,,0.7,,
Alexandre Kalil,,,,0.6,,
Michel Temer,,,,0.2,,
